date,open,high,low,close,volume
2023-03-07,2457.04,2475.73,2455.6499,2463.3501,449800
2023-03-08,2435.5801,2442.6101,2426.52,2431.9099,437300
2023-03-09,2440.79,2444.2,2416.25,2419.0901,473500
2023-03-10,2389.8201,2400.8701,2383.1899,2394.5901,412900
2023-03-13,2400.45,2413.24,2369.79,2410.6001,380400
2023-03-14,2390.3601,2390.78,2348.1899,2348.97,484800
2023-03-15,2380.0901,2395.3601,2370.77,2379.72,443500
2023-03-16,2357.98,2382.79,2346.1101,2377.9099,317300
2023-03-17,2403.7,2405.3501,2382.8,2395.6899,363400
2023-03-20,2391.8701,2405.99,2378.7,2379.2,344700
2023-03-21,2396.54,2399.52,2383.1699,2388.3501,354700
2023-03-22,2411.25,2417.47,2402.78,2416.96,500900
2023-03-23,2398.27,2424.48,2397.9099,2424.48,567400
2023-03-24,2421.27,2423.76,2399.49,2414.96,470100
2023-03-27,2423.9399,2423.9399,2395.97,2409.22,472200
2023-03-28,2418.6899,2434.9399,2415.3401,2434.9399,523500
2023-03-29,2432.6299,2443.95,2428.6101,2443.9199,496600
2023-03-30,2452.97,2462.7,2439.4299,2453.1599,621300
2023-03-31,2459.9399,2481.24,2456.54,2476.8601,721300
2023-04-03,2485.8101,2485.8101,2467.5901,2472.3401,807400
2023-04-04,2475.8701,2489.71,2472.79,2480.51,830500
2023-04-05,2482.6101,2497.6101,2478.6699,2495.21,630400
2023-04-06,2488.0,2488.0,2458.5,2459.23,749100
2023-04-07,2478.6399,2493.0601,2473.8899,2490.4099,584000
2023-04-10,2491.6799,2519.99,2490.1699,2512.0801,716200
2023-04-11,2523.3301,2550.97,2514.4199,2547.8601,766800
2023-04-12,2546.3601,2561.3701,2536.23,2550.6399,899800
2023-04-13,2534.71,2561.6599,2531.0701,2561.6599,840300
2023-04-14,2580.1001,2581.74,2560.53,2571.49,890500
2023-04-17,2570.3,2577.0801,2561.1399,2575.9099,774600
2023-04-18,2582.23,2582.23,2557.1899,2571.0901,895200
2023-04-19,2570.0601,2582.1101,2568.46,2575.0801,956000
2023-04-20,2566.0601,2573.9399,2552.0601,2563.1101,950400
2023-04-21,2556.7,2559.4399,2532.3201,2544.3999,969000
2023-04-24,2538.3601,2541.8899,2518.73,2523.5,925900
2023-04-25,2531.3501,2531.3501,2472.3301,2489.02,885200
